Factor,Sweep,Value,DeltaDampingRatio,DeltaSigma,DeltaMaxReal
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,3.43589743589744,-0.0056115928509273,0.0704286704354883,-2.59375864949084e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,3.92307692307692,-0.00561120816070284,0.0704231781690836,-2.64194229763169e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,4.41025641025641,-0.00561065855680533,0.070415780258625,-2.67876294470538e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,4.8974358974359,-0.00561006353657016,0.0704079240694238,-2.70796657690173e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,5.38461538461539,-0.0056094759209914,0.0704002398306651,-2.73117705155076e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,5.87179487179487,-0.00560891827039301,0.0703929893709524,-2.75079223075077e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,6.35897435897436,-0.00560839910351875,0.070386265188824,-2.766903577219e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,6.84615384615385,-0.0056079202117384,0.0703800797071916,-2.78066151174414e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,7.33333333333333,-0.0056074803154989,0.0703744096534543,-2.79255702636556e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,7.82051282051282,-0.00560707679059794,0.0703692167969936,-2.80272752172257e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,8.30769230769231,-0.00560670652627404,0.0703644581281568,-2.81164971500675e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,8.7948717948718,-0.00560636638715977,0.0703600912683177,-2.81932722021525e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,9.28205128205128,-0.00560605335516674,0.0703560759916699,-2.82667811439992e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,9.76923076923077,-0.00560576472435997,0.0703523764895052,-2.83290031564722e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,10.2564102564103,-0.00560549799561596,0.0703489599253811,-2.8386513426331e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,10.7435897435897,-0.00560525098375775,0.0703457976873765,-2.84339974793643e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,11.2307692307692,-0.00560502167414526,0.0703428635253981,-2.84844060432082e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,11.7179487179487,-0.00560480839113526,0.0703401356131704,-2.85235353590808e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,12.2051282051282,-0.00560460956015286,0.0703375935303972,-2.85614586792871e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,12.6923076923077,-0.00560442382929983,0.0703352197583579,-2.85955613774421e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,13.1794871794872,-0.00560424998156202,0.0703329985585628,-2.86296181749128e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,13.6666666666667,-0.00560408696178053,0.0703309162938384,-2.86607081495301e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,14.1538461538462,-0.00560393382070445,0.0703289607141142,-2.86880918792393e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,14.6410256410256,-0.00560378970838078,0.0703271208633066,-2.87128937491356e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,15.1282051282051,-0.00560365385008638,0.0703253867692848,-2.87392278078124e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,15.6153846153846,-0.00560352558992966,0.0703237499835019,-2.87631140741974e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,16.1025641025641,-0.00560340432168032,0.07032220270884,-2.87841403473418e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,16.5897435897436,-0.0056032894994807,0.0703207379294975,-2.88040735407832e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,17.0769230769231,-0.00560318062711355,0.0703193492724279,-2.88215483994318e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,17.5641025641026,-0.00560307725953193,0.0703180310240185,-2.88389956563592e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,18.0512820512821,-0.00560297898687588,0.0703167779269421,-2.88578478421404e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,18.5384615384615,-0.00560288546764216,0.070315585593695,-2.88730964216975e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,19.025641025641,-0.00560279635069184,0.070314449527655,-2.88888446383744e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,19.5128205128205,-0.00560271135630899,0.0703133661372096,-2.89008560875725e-05
DC-link allocation effect (GSC-DVC to MSC-DVC),XR,20,-0.00560263019254729,0.0703123316863349,-2.89126983503453e-05
APCAD damping effect,XR,1,0.00928046109783476,-0.115997478640043,-8.65895844940883e-05
APCAD damping effect,XR,1.48717948717949,0.00920483105445509,-0.114776439788263,-8.66481291410676e-05
APCAD damping effect,XR,1.97435897435897,0.00902070818530754,-0.112334220321226,-8.66853377335802e-05
APCAD damping effect,XR,2.46153846153846,0.00885614872760164,-0.110199658228906,-8.67057586072407e-05
APCAD damping effect,XR,2.94871794871795,0.00872533851210753,-0.108517856709797,-8.6723865651589e-05
APCAD damping effect,XR,3.43589743589744,0.00862285611553167,-0.107206604794766,-8.67356758464787e-05
APCAD damping effect,XR,3.92307692307692,0.00854176577228581,-0.106172228292342,-8.67444225724368e-05
APCAD damping effect,XR,4.41025641025641,0.00847657162607487,-0.105342381302048,-8.6749986004872e-05
APCAD damping effect,XR,4.8974358974359,0.00842328560192114,-0.104665168260178,-8.67538013128687e-05
APCAD damping effect,XR,5.38461538461539,0.00837905732301899,-0.104103743785522,-8.67596168175177e-05
APCAD damping effect,XR,5.87179487179487,0.00834183519691653,-0.103631703549109,-8.67620734086791e-05
APCAD damping effect,XR,6.35897435897436,0.00831012210745581,-0.103229838857113,-8.67656954661386e-05
APCAD damping effect,XR,6.84615384615385,0.00828280691781978,-0.102883926655574,-8.67700599419523e-05
APCAD damping effect,XR,7.33333333333333,0.00825905202839435,-0.102583264593563,-8.67697270473776e-05
APCAD damping effect,XR,7.82051282051282,0.00823821540495221,-0.102319661360985,-8.67730339548511e-05
APCAD damping effect,XR,8.30769230769231,0.00821979845833799,-0.102086763258189,-8.67747791702417e-05
APCAD damping effect,XR,8.7948717948718,0.00820340830752465,-0.10187956881531,-8.67759302271339e-05
APCAD damping effect,XR,9.28205128205128,0.00818873146943171,-0.101694090862419,-8.67745672244995e-05
APCAD damping effect,XR,9.76923076923077,0.00817551572999656,-0.101527123679865,-8.67748517046629e-05
APCAD damping effect,XR,10.2564102564103,0.0081635549384245,-0.101376049001402,-8.67771760446907e-05
APCAD damping effect,XR,10.7435897435897,0.0081526804387662,-0.101238725667506,-8.67797715402331e-05
APCAD damping effect,XR,11.2307692307692,0.0081427513976854,-0.10111336701026,-8.67783106350741e-05
APCAD damping effect,XR,11.7179487179487,0.00813365092716158,-0.100998490499981,-8.6779671172604e-05
APCAD damping effect,XR,12.2051282051282,0.00812527989092768,-0.100892839526481,-8.67803797714051e-05
APCAD damping effect,XR,12.6923076923077,0.00811755446379182,-0.100795351873984,-8.67851108001614e-05
APCAD damping effect,XR,13.1794871794872,0.00811040339355793,-0.100705124824811,-8.678196372933e-05
APCAD damping effect,XR,13.6666666666667,0.00810376498074736,-0.100621377162819,-8.67834428951372e-05
APCAD damping effect,XR,14.1538461538462,0.00809758677539113,-0.100543444657083,-8.67792691410709e-05
APCAD damping effect,XR,14.6410256410256,0.00809182194524016,-0.100470734887948,-8.67858330609074e-05
