Factor,Sweep,Value,DeltaDampingRatio,DeltaSigma,DeltaMaxReal
DVC type effect (Type a to Type c),C_dc,0.000711538461538462,1.84967043239618e-05,-0.000232679842064043,-0.000232679842064043
DVC type effect (Type a to Type c),C_dc,0.000778846153846154,2.02541405119987e-05,-0.000254787094711634,-0.000254787094711634
DVC type effect (Type a to Type c),C_dc,0.000846153846153846,2.20128969426105e-05,-0.000276910871220087,-0.000276910871220087
DVC type effect (Type a to Type c),C_dc,0.000913461538461539,2.37729915343252e-05,-0.000299051398102712,-0.000299051398102712
DVC type effect (Type a to Type c),C_dc,0.000980769230769231,2.5534446078385e-05,-0.000321208949772667,-0.000321208949772667
DVC type effect (Type a to Type c),C_dc,0.00104807692307692,2.72972362675619e-05,-0.00034338321879851,-0.00034338321879851
DVC type effect (Type a to Type c),C_dc,0.00111538461538462,2.9061375432694e-05,-0.000365574373351246,-0.000365574373351246
DVC type effect (Type a to Type c),C_dc,0.00118269230769231,3.08268542447716e-05,-0.000387782294818423,-0.000387782294818423
DVC type effect (Type a to Type c),C_dc,0.00125,3.25936829893431e-05,-0.000410007113012201,-0.000410007113012201
DVC type effect (Type a to Type c),C_dc,0.00131730769230769,3.43618739953311e-05,-0.000432248983000205,-0.000432248983000205
DVC type effect (Type a to Type c),C_dc,0.00138461538461538,3.61314169193983e-05,-0.000454507773478052,-0.000454507773478052
DVC type effect (Type a to Type c),C_dc,0.00145192307692308,3.79023009360879e-05,-0.000476783347595766,-0.000476783347595766
DVC type effect (Type a to Type c),C_dc,0.00151923076923077,3.96745626607166e-05,-0.000499076167363555,-0.000499076167363555
DVC type effect (Type a to Type c),C_dc,0.00158653846153846,4.14481656247807e-05,-0.00052138577142169,-0.00052138577142169
DVC type effect (Type a to Type c),C_dc,0.00165384615384615,4.32231371185667e-05,-0.000543712504135513,-0.000543712504135513
DVC type effect (Type a to Type c),C_dc,0.00172115384615385,4.49994634291913e-05,-0.000566056191791509,-0.000566056191791509
DVC type effect (Type a to Type c),C_dc,0.00178846153846154,4.67771500813376e-05,-0.000588416903740785,-0.000588416903740785
DVC type effect (Type a to Type c),C_dc,0.00185576923076923,4.85562025478933e-05,-0.000610794708753915,-0.000610794708753915
DVC type effect (Type a to Type c),C_dc,0.00192307692307692,5.03366037539789e-05,-0.000633189390461752,-0.000633189390461752
DVC type effect (Type a to Type c),C_dc,0.00199038461538462,5.21183990908544e-05,-0.000655601522246974,-0.000655601522246974
DVC type effect (Type a to Type c),C_dc,0.00205769230769231,5.39015542023007e-05,-0.000678030668699758,-0.000678030668699758
DVC type effect (Type a to Type c),C_dc,0.002125,5.56860665783497e-05,-0.000700476798345173,-0.000700476798345173
DVC type effect (Type a to Type c),C_dc,0.00219230769230769,5.74719703771587e-05,-0.000722940342543943,-0.000722940342543943
DVC type effect (Type a to Type c),C_dc,0.00225961538461539,5.92592372150782e-05,-0.000745420941458408,-0.000745420941458408
DVC type effect (Type a to Type c),C_dc,0.00232692307692308,6.1047847349515e-05,-0.000767918345412122,-0.000767918345412122
DVC type effect (Type a to Type c),C_dc,0.00239423076923077,6.28378605377639e-05,-0.000790433308884619,-0.000790433308884619
DVC type effect (Type a to Type c),C_dc,0.00246153846153846,6.46292410038714e-05,-0.000812965379598074,-0.000812965379598074
DVC type effect (Type a to Type c),C_dc,0.00252884615384615,6.64220099594708e-05,-0.000835514825047068,-0.000835514825047068
DVC type effect (Type a to Type c),C_dc,0.00259615384615385,6.82161519381455e-05,-0.000858081449055526,-0.000858081449055526
DVC type effect (Type a to Type c),C_dc,0.00266346153846154,7.00116702423755e-05,-0.000880665293065408,-0.000880665293065408
DVC type effect (Type a to Type c),C_dc,0.00273076923076923,7.18085789008401e-05,-0.000903266534026947,-0.000903266534026947
DVC type effect (Type a to Type c),C_dc,0.00279807692307692,7.36068695369498e-05,-0.000925885064675613,-0.000925885064675613
