Model,Parameter,Value,Sigma,FrequencyHz,DampingRatio,MaxReal,Stable
GFM-MWT,mp,4.42710555593164e-08,-0.0901385066698153,1.99746646740897,0.00718190725459335,-0.016366244089185,1
GFM-MWT,mp,4.96729413289805e-08,-0.0900797140979488,1.99748710092778,0.00717714898339428,-0.0162279221197198,1
GFM-MWT,mp,5.57339568505748e-08,-0.0900084246551887,1.99750966364266,0.00717138825087541,-0.0161086293468229,1
GFM-MWT,mp,6.25345281176143e-08,-0.0899221161908348,1.99753418102213,0.00716442407731913,-0.0160052990073471,1
GFM-MWT,mp,7.01648945790282e-08,-0.08981789178846,1.99756061279515,0.00715602587813164,-0.0159154592718608,1
GFM-MWT,mp,7.87263065618215e-08,-0.0896925030787475,1.99758882708375,0.00714593541615662,-0.0158371035834521,1
GFM-MWT,mp,8.83323688013975e-08,-0.0895424248464393,1.9976185701131,0.00713387285457898,-0.0157685800846325,1
GFM-MWT,mp,9.91105479073749e-08,-0.089364003190636,1.99764943337195,0.00711954867536334,-0.0157085174663998,1
GFM-MWT,mp,1.11203863768054e-07,-0.0891536999503481,1.99768082223671,0.00710268325605634,-0.0156557604599489,1
GFM-MWT,mp,1.24772787337438e-07,-0.0889084500452166,1.99771193259237,0.00708303540570122,-0.0156093398067896,1
GFM-MWT,mp,1.39997369987299e-07,-0.0886261315024983,1.99774174486892,0.00706043980641786,-0.015568432731924,1
GFM-MWT,mp,1.5707963267949e-07,-0.0883061168670414,1.99776904660609,0.00703485082789677,-0.0155323438161466,1
GFM-MWT,mp,1.76246246661361e-07,-0.0879498318953527,1.99779249383091,0.00700638677977382,-0.0155004550193747,1
GFM-MWT,mp,1.97751541255503e-07,-0.0875612011859976,1.99781071575029,0.00697536500815907,-0.0154722624784555,1
GFM-MWT,mp,2.2188087865533e-07,-0.0871468347862328,1.99782245722292,0.00694231624183472,-0.0154473081983973,1
GFM-MWT,mp,2.48954440508015e-07,-0.0867158236013905,1.99782673863737,0.00690796774395554,-0.015425205172337,1
GFM-MWT,mp,2.79331476530414e-07,-0.0862790885334205,1.99782300121946,0.00687319100059644,-0.0154056084344554,1
GFM-MWT,mp,3.1341507153454e-07,-0.0858483486073899,1.99781120153134,0.00683891926508292,-0.015388228313873,1
GFM-MWT,mp,3.51657494118124e-07,-0.0854348993969752,1.99779182867988,0.00680605027085206,-0.0153728062508092,1
GFM-MWT,mp,3.94566197994119e-07,-0.0850484629833136,1.99776583780007,0.00677535491957445,-0.0153591132342688,1
GFM-MWT,mp,4.42710555593164e-07,-0.0846963485717187,1.99773451733106,0.00674741091194111,-0.0153469460367927,1
GFM-MWT,mp,4.96729413289805e-07,-0.0843830610659987,1.99769932368465,0.00672257213526419,-0.0153361426327369,1
GFM-MWT,mp,5.57339568505748e-07,-0.0841103565282806,1.99766172079643,0.00670097360072165,-0.0153265308769661,1
GFM-MWT,mp,6.25345281176143e-07,-0.0838776422463026,1.99762305162877,0.00668256370551526,-0.0153179899468035,1
GFM-MWT,mp,7.01648945790283e-07,-0.0836825596598189,1.9975844562449,0.00666715090118424,-0.0153103927392123,1
GFM-MWT,mp,7.87263065618215e-07,-0.083521607971593,1.99754683490423,0.00665445345871609,-0.0153036338828255,1
GFM-MWT,mp,8.83323688013975e-07,-0.0833907009241007,1.99751084756208,0.00664414379933118,-0.0152976244266324,1
GFM-MWT,mp,9.9110547907375e-07,-0.0832856023258989,1.99747693719389,0.00663588309831702,-0.015292271581552,1
GFM-MWT,mp,1.11203863768054e-06,-0.0832022322395737,1.99744536503245,0.00662934555488685,-0.0152875068540774,1
GFM-MWT,mp,1.24772787337438e-06,-0.0831368529049348,1.99741624936502,0.00662423307544005,-0.0152832666471942,1
