Model,Scan,XParameter,YParameter,XFactor,YFactor,XValue,YValue,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT,h_mp,h,mp,0.0251188643150958,8.57695898590894,12.7253653207839,1.34726556701362e-05,1718.24882774057,0.0663154501459546,2.15440277938592,-0.00489894700416253,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,11.6591440117983,12.7253653207839,1.83141405873055e-05,1718.2488274177,0.140588050086832,2.19667386628962,-0.0101854548275198,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,15.8489319246111,12.7253653207839,2.48954440508015e-05,1718.24882718004,0.286384404296292,2.23669802885234,-0.0203737975200219,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,21.5443469003188,12.7253653207839,3.38417809742158e-05,1718.24882700519,0.47216492781652,2.26714551764699,-0.0331280609790793,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,29.2864456462524,12.7253653207839,4.60030412460116e-05,1718.24882687666,0.654327656585272,2.2873359006923,-0.0454816080602475,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,39.8107170553497,12.7253653207839,6.25345281176143e-05,1718.24882678205,0.810627307980246,2.30003009415692,-0.0560048554814663,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,54.1169526546464,12.7253653207839,8.50067104472519e-05,1718.24882671216,0.936223287411895,2.30793699182906,-0.0644276640409605,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,73.5642254459641,12.7253653207839,0.000115554415114032,1718.24882666092,-2.01353678278473,1.82025622813933,0.173387926617535,0
GFM-MWT,h_mp,h,mp,0.0251188643150958,100,12.7253653207839,0.00015707963267949,1718.24882662319,-1.94179202333517,1.81731340890893,0.16764954579313,0
GFM-MWT,h_mp,h,mp,0.034145488738336,0.01,17.2983066750716,1.5707963267949e-08,1718.24917275838,0.115903405360972,1.99984593864563,-0.00922361809866988,0
