Model,Scan,Value,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT+AD,K_damp,-1333333.33333333,1718.24855511371,0.108555329104199,1.99625266165536,-0.00865445067238918,0
GFM-MWT+AD,K_damp,-1166666.66666667,1718.24855511385,0.112076500939176,1.99679673705689,-0.00893271564655055,0
GFM-MWT+AD,K_damp,-1000000,1718.24855511383,0.115594458427206,1.99733785709921,-0.00921058447825744,0
GFM-MWT+AD,K_damp,-833333.333333334,1718.24855511331,0.119109102512419,1.99787605197889,-0.00948805063207223,0
GFM-MWT+AD,K_damp,-666666.666666666,1718.24855511401,0.122620337780226,1.99841135161794,-0.00976510785129538,0
GFM-MWT+AD,K_damp,-500000,1718.24855511392,0.126128072344262,1.99894378566164,-0.0100417501487629,0
GFM-MWT+AD,K_damp,-333333.333333334,1718.24855511397,0.12963221775419,1.9994733834744,-0.0103179717993376,0
GFM-MWT+AD,K_damp,-166666.666666666,1718.24855511411,0.133132688891827,2.00000017413841,-0.0105937673314778,0
GFM-MWT+AD,K_damp,0,1718.2485551139,0.136629403858671,2.00052418645064,-0.0108691315181511,0
GFM-MWT+AD,K_damp,166666.666666666,1718.24855511393,0.140122283945948,2.0010454489203,-0.0111440593743295,0
GFM-MWT+AD,K_damp,333333.333333334,1718.24855511362,0.14361125343131,2.00156398976971,-0.011418546140695,0
GFM-MWT+AD,K_damp,500000,1718.24855511364,0.147096239607238,2.00207983693153,-0.0116925872858124,0
GFM-MWT+AD,K_damp,666666.666666666,1718.24855511381,0.150577172626861,2.00259301804909,-0.0119661784937778,0
GFM-MWT+AD,K_damp,833333.333333334,1718.24855511335,0.154053985417692,2.0031035604711,-0.0122393156573205,0
GFM-MWT+AD,K_damp,1000000,1718.2485551137,0.157526613631088,2.00361149125903,-0.0125119948736822,0
GFM-MWT+AD,K_damp,1166666.66666667,1718.2485551135,0.160994995544602,2.00411683718148,-0.0127842124368415,0
GFM-MWT+AD,K_damp,1333333.33333333,1718.24855511377,0.164459071983901,2.00461962471655,-0.0130559648312615,0
GFM-MWT+AD,K_damp,1500000,1718.24855511377,0.167918786243145,2.00511988005093,-0.013327248725546,0
GFM-MWT+AD,K_damp,1666666.66666667,1718.24855511396,0.171374084019317,2.0056176290813,-0.0135980609672011,0
GFM-MWT+AD,K_damp,1833333.33333333,1718.24855511376,0.174824913330087,2.00611289741494,-0.0138683985761062,0
GFM-MWT+AD,K_damp,2000000,1718.24855511371,0.178271224455491,2.00660571037039,-0.0141382587398847,0
GFM-MWT+AD,K_damp,2166666.66666667,1718.24855511377,0.181712969852815,2.00709609297912,-0.0144076388071516,0
