Factor,Sweep,Value,DeltaDampingRatio,DeltaSigma,DeltaMaxReal
APCAD damping effect,XR,9.28205128205128,0.00553100486676875,-0.0687089841057869,5.11590769747272e-11
APCAD damping effect,XR,9.76923076923077,0.00551526489026666,-0.0685126748444128,-1.25055521493778e-11
APCAD damping effect,XR,10.2564102564103,0.005501047310581,-0.0683353680770942,1.16187948151492e-10
APCAD damping effect,XR,10.7435897435897,0.00548814220655592,-0.068174441545761,-1.41653799801134e-10
APCAD damping effect,XR,11.2307692307692,0.00547637646885578,-0.0680277331768622,-1.65755409398116e-10
APCAD damping effect,XR,11.7179487179487,0.00546560604436113,-0.0678934440626704,1.15278453449719e-10
APCAD damping effect,XR,12.2051282051282,0.00545571009750969,-0.0677700654362036,-9.36779542826116e-11
APCAD damping effect,XR,12.6923076923077,0.005446586593122,-0.0676563234185878,2.18278728425503e-11
APCAD damping effect,XR,13.1794871794872,0.0054381486831956,-0.0675511338701514,-5.34328137291595e-11
APCAD damping effect,XR,13.6666666666667,0.00543032204762106,-0.0674535691319238,2.71256794803776e-10
APCAD damping effect,XR,14.1538461538462,0.00542304275919025,-0.0673628313358725,-7.75344233261421e-11
APCAD damping effect,XR,14.6410256410256,0.00541625541340291,-0.0672782290583763,4.29736246587709e-11
APCAD damping effect,XR,15.1282051282051,0.00540991192514344,-0.0671991622491651,1.08457243186422e-10
APCAD damping effect,XR,15.6153846153846,0.00540397015332969,-0.067125105094858,-1.38470568344928e-10
APCAD damping effect,XR,16.1025641025641,0.00539839318723626,-0.0670555970614967,1.79852577275597e-10
APCAD damping effect,XR,16.5897435897436,0.00539314848683349,-0.0669902321787414,-9.77706804405898e-12
APCAD damping effect,XR,17.0769230769231,0.00538820727530407,-0.0669286514466517,-1.36651578941382e-10
APCAD damping effect,XR,17.5641025641026,0.00538354397553996,-0.066870535804881,-1.88720150617883e-11
APCAD damping effect,XR,18.0512820512821,0.00537913580696799,-0.0668156010931319,1.85309545486234e-10
