Index,VoltageScale,Kpv,Kiv,Kdamp,ZetaDamp,AlphaLead,MaxReal,DominantFrequencyHz,TorsionSigma,TorsionFrequencyHz,TorsionDampingRatio,Stable
12715,36.517,4.01687,9640.488,-13000000,0.5,0.7,-0.178391130463189,1.97690399634377,-0.178391130463189,1.97690399634377,0.0143602838927997,1
16240,42.17,4.6387,11132.88,-13000000,0.5,0.7,-0.178377085518408,1.97690503532789,-0.178377085518408,1.97690503532789,0.0143591459787253,1
5266,27.384,3.01224,7229.376,-16200000,0.7,0.15,-0.178189967299207,1.93400037761831,-0.178189967299207,1.93400037761831,0.0146622337086301,1
8791,31.623,3.47853,8348.472,-16200000,0.7,0.15,-0.178172599008997,1.93400448308652,-0.178172599008997,1.93400448308652,0.0146607737635241,1
5437,27.384,3.01224,7229.376,-14800000,0.5,0.25,-0.178167513611911,1.94456634165829,-0.178167513611911,1.94456634165829,0.0145807450639731,1
12316,36.517,4.01687,9640.488,-16200000,0.7,0.15,-0.178157595484974,1.93400803255023,-0.178157595484974,1.93400803255023,0.0146595125785095,1
8962,31.623,3.47853,8348.472,-14800000,0.5,0.25,-0.178149929159174,1.94456989073799,-0.178149929159174,1.94456989073799,0.0145792797026769,1
15841,42.17,4.6387,11132.88,-16200000,0.7,0.15,-0.178144624462757,1.93401110342069,-0.178144624462757,1.93401110342069,0.0146584222307286,1
12487,36.517,4.01687,9640.488,-14800000,0.5,0.25,-0.178134737549915,1.94457295931453,-0.178134737549915,1.94457295931453,0.0145780137295748,1
16012,42.17,4.6387,11132.88,-14800000,0.5,0.25,-0.178121603092582,1.94457561420453,-0.178121603092582,1.94457561420453,0.0145769191759351,1
5659,27.384,3.01224,7229.376,-13000000,0.35,0.5,-0.177928517158414,1.96494919619721,-0.177928517158414,1.96494919619721,0.0144101754604114,1
9184,31.623,3.47853,8348.472,-13000000,0.35,0.5,-0.177909889997335,1.964951512782,-0.177909889997335,1.964951512782,0.0144086502029504,1
12709,36.517,4.01687,9640.488,-13000000,0.35,0.5,-0.177893795046174,1.96495351604377,-0.177893795046174,1.96495351604377,0.0144073322828465,1
16234,42.17,4.6387,11132.88,-13000000,0.35,0.5,-0.177879877446711,1.9649552495111,-0.177879877446711,1.9649552495111,0.0144061926463965,1
