Stage,Index,CurrentScale,VoltageScale,Kpi,Kii,Kpv,Kiv,BetaV,BetaI,Kdamp,ZetaDamp,AlphaLead,TLeadDamp,MaxReal,DominantSigma,DominantFrequencyHz,TorsionSigma,TorsionFrequencyHz,TorsionDampingRatio,Stable
stage1,2433,0.00237137370566166,0.562341325190349,0.000474274741132331,0.000790457901887218,0.0618575457709384,148.458109850252,0.2,0.5,-5000000,0.2,0.3,0.0795774715459477,832.778806223069,832.778806223069,2247.00971896826,0.0167407184451329,1.98435186468774,-0.00134268812763918,0
stage1,1360,0.00177827941003892,0.00316227766016838,0.000355655882007785,0.000592759803346308,0.000347850542618522,0.834841302284452,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.778809398445,832.778809398445,2247.05360862608,0.0167927986043355,1.98436124711165,-0.00134685883730977,0
stage1,1335,0.00177827941003892,0.00237137370566166,0.000355655882007785,0.000592759803346308,0.000260851107622782,0.626042658294677,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.778917832773,832.778917832773,2247.05361519452,0.0167928750626879,1.98436126392597,-0.00134686495819379,0
stage1,1310,0.00177827941003892,0.00177827941003892,0.000355655882007785,0.000592759803346308,0.000195610735104282,0.469465764250276,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.77899914695,832.77899914695,2247.0536201202,0.0167929323328593,1.98436127652116,-0.00134686954296481,0
stage1,1285,0.00177827941003892,0.00133352143216332,0.000355655882007785,0.000592759803346308,0.000146687357537966,0.352049658091118,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.77906012369,832.77906012369,2247.05362381387,0.0167929753036073,1.98436128597033,-0.00134687298299441,0
stage1,1260,0.00177827941003892,0.001,0.000355655882007785,0.000592759803346308,0.00011,0.264,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.779105850389,832.779105850389,2247.0536265838,0.0167930075409756,1.98436129306012,-0.00134687556376111,0
stage1,2381,0.00237137370566166,0.316227766016838,0.000474274741132331,0.000790457901887218,0.0347850542618522,83.4841302284452,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.780333503611,832.780333503611,2247.0232859911,0.0167924289895796,1.98436555597742,-0.00134682626806939,0
stage1,3107,0.00316227766016838,1,0.000632455532033676,0.00105409255338946,0.11,264,0.2,0.2,-5000000,0.2,0.3,0.0795774715459477,832.783065134247,832.783065134247,2246.94875590072,0.01666574690763,1.98433707603773,-0.00133668501340194,0
stage1,2460,0.00237137370566166,0.749894209332456,0.000474274741132331,0.000790457901887218,0.0824883630265701,197.972071263768,0.2,1,-5000000,0.2,0.3,0.0795774715459477,832.787988731965,832.787988731965,2246.99680054264,0.0166974586797333,1.9843398380764,-0.00133922660414471,0
stage1,2356,0.00237137370566166,0.237137370566166,0.000474274741132331,0.000790457901887218,0.0260851107622782,62.6042658294677,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.794792753446,832.794792753446,2247.02416204362,0.0168026388930416,1.98436780481214,-0.00134764361825635,0
stage1,2382,0.00237137370566166,0.316227766016838,0.000474274741132331,0.000790457901887218,0.0347850542618522,83.4841302284452,0.2,0.2,-5000000,0.2,0.3,0.0795774715459477,832.797719798399,832.797719798399,2247.0189496989,0.0167842716303379,1.9843628923096,-0.00134617382035995,0
stage1,2408,0.00237137370566166,0.421696503428582,0.000474274741132331,0.000790457901887218,0.046386615377144,111.327876905146,0.2,0.5,-5000000,0.2,0.3,0.0795774715459477,832.804518616033,832.804518616033,2247.0112770152,0.0167586840348691,1.98435589746221,-0.00134412632223251,0
stage1,2434,0.00237137370566166,0.562341325190349,0.000474274741132331,0.000790457901887218,0.0618575457709384,148.458109850252,0.2,0.8,-5000000,0.2,0.3,0.0795774715459477,832.804888001935,832.804888001935,2247.00321461999,0.0167289371337467,1.98434789142469,-0.00134174589667212,0
stage1,2331,0.00237137370566166,0.177827941003892,0.000474274741132331,0.000790457901887218,0.0195610735104281,46.9465764250276,0.2,0,-5000000,0.2,0.3,0.0795774715459477,832.805635601765,832.805635601765,2247.02481898445,0.0168103094000904,1.98436948782862,-0.00134825768115683,0
stage1,2357,0.00237137370566166,0.237137370566166,0.000474274741132331,0.000790457901887218,0.0260851107622782,62.6042658294677,0.2,0.2,-5000000,0.2,0.3,0.0795774715459477,832.812178906808,832.812178906808,2247.01982578207,0.0167944625245411,1.98436514319349,-0.00134698964637137,0
