Scan,Value,MaxReal,DominantFrequencyHz,TorsionSigma,TorsionDampingRatio,Stable
voltage_scale,0.00865964323360065,1767.74994735805,2251.27617454976,0.0356396934658834,-0.00285357535794007,0
voltage_scale,0.01,1767.68363164624,2251.27189154579,0.0352519219189529,-0.0028224689892547,0
voltage_scale,0.0115478198468946,1767.60704941745,2251.26694535258,0.0347905003130502,-0.00278546060825375,0
voltage_scale,0.0133352143216332,1767.51861091649,2251.26123323446,0.0342398593765041,-0.00274130436844456,0
voltage_scale,0.0153992652605949,1767.41648009921,2251.25463652561,0.0335809308515912,-0.00268847495304096,0
voltage_scale,0.0177827941003892,1767.29853643034,2251.24701815462,0.032790483298678,-0.00262511468477254,0
voltage_scale,0.0205352502645715,1767.16233075048,2251.23821978274,0.0318405102618766,-0.00254898489810757,0
voltage_scale,0.0237137370566166,1767.00503427632,2251.22805849549,0.0306978769341772,-0.00245743804792093,0
voltage_scale,0.0273841963426436,1766.82337965807,2251.21632297563,0.0293246514806356,-0.00234744458275175,0
voltage_scale,0.0316227766016838,1766.61359286225,2251.20276907677,0.0276798967407688,-0.0022157364751074,0
