Model,Scan,XParameter,YParameter,XFactor,YFactor,XValue,YValue,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT,h_mp,h,mp,0.01,1.84784979742229,5.06605918211689,2.90259567425963e-06,-0.0152637282487329,-0.130017979733416,2.00383463821486,0.0103261519188875,1
GFM-MWT,h_mp,h,mp,0.01,2.51188643150958,5.06605918211689,3.94566197994119e-06,-0.0152598041706748,-0.142230983803613,2.00340372117177,0.011298431267192,1
GFM-MWT,h_mp,h,mp,0.01,3.4145488738336,5.06605918211689,5.36356082867947e-06,-0.0152569196623221,-0.151883812605914,2.00249182233893,0.0120706103341438,1
GFM-MWT,h_mp,h,mp,0.01,4.64158883361278,5.06605918211689,7.29099069033116e-06,-0.0152547990811222,-0.158292385446844,2.001419531876,0.0125865764546795,1
GFM-MWT,h_mp,h,mp,0.01,6.30957344480193,5.06605918211689,9.9110547907375e-06,-0.0152532401331303,-0.162031942075818,2.00042341247591,0.0128902920215509,1
GFM-MWT,h_mp,h,mp,0.01,8.57695898590894,5.06605918211689,1.34726556701362e-05,-0.0152520934339676,-0.16401898662036,1.99960178599406,0.0130537032337338,1
GFM-MWT,h_mp,h,mp,0.01,11.6591440117983,5.06605918211689,1.83141405873055e-05,-0.0152512502852103,-0.164994145124047,1.99896425358646,0.0131354866406528,1
GFM-MWT,h_mp,h,mp,0.01,15.8489319246111,5.06605918211689,2.48954440508015e-05,-0.015250630092917,-0.165429445629337,1.99848454005108,0.0131732965025945,1
GFM-MWT,h_mp,h,mp,0.01,21.5443469003188,5.06605918211689,3.38417809742158e-05,-0.0152501739566929,-0.165593254368604,1.99812891905382,0.0131886849306038,1
GFM-MWT,h_mp,h,mp,0.01,29.2864456462524,5.06605918211689,4.60030412460116e-05,-0.0152498382401279,-0.165628755870325,1.99786708252722,0.0131932405105909,1
GFM-MWT,h_mp,h,mp,0.01,39.8107170553497,5.06605918211689,6.25345281176143e-05,0.0464208058742139,-0.165609068955536,1.99767483607507,0.013192941893639,0
GFM-MWT,h_mp,h,mp,0.01,54.1169526546464,5.06605918211689,8.50067104472519e-05,0.717354076795834,-0.165569975299067,1.99753380675166,0.0131907591737978,0
