Model,Scan,Value,MaxReal,Sigma,FrequencyHz,DampingRatio,Stable
GFM-MWT+AD,K_damp,-2333333.33333333,-0.0153164970123944,-0.130978984974537,1.99233569011619,0.0104624998851095,1
GFM-MWT+AD,K_damp,-2166666.66666667,-0.0153136068034159,-0.127505982087979,1.99270789165938,0.0101832060792368,1
GFM-MWT+AD,K_damp,-2000000,-0.0153107176847993,-0.124040609420286,1.99307800418392,0.00990463379831932,1
GFM-MWT+AD,K_damp,-1833333.33333333,-0.0153078296585542,-0.120582859008929,1.9934460533749,0.00962678108675197,1
GFM-MWT+AD,K_damp,-1666666.66666667,-0.0153049427223888,-0.117132721715566,1.99381206450282,0.00934964591623887,1
GFM-MWT+AD,K_damp,-1500000,-0.01530205687735,-0.113690187276103,1.99417606243238,0.00907322618942154,1
GFM-MWT+AD,K_damp,-1333333.33333333,-0.015299172121698,-0.110255244357108,1.99453807162818,0.00879751974403226,1
GFM-MWT+AD,K_damp,-1166666.66666667,-0.0152962903730384,-0.106827880496327,1.99489811618871,0.00852252434768376,1
GFM-MWT+AD,K_damp,-1000000,-0.0152934058770761,-0.10340808269271,1.99525621971872,0.00824823774516648,1
GFM-MWT+AD,K_damp,-833333.333333334,-0.0152905243866659,-0.0999958363719096,1.99561240560482,0.00797465757443459,1
GFM-MWT+AD,K_damp,-666666.666666666,-0.0152876439819611,-0.096591126511644,1.99596669675309,0.00770178145719137,1
GFM-MWT+AD,K_damp,-500000,-0.0152847668365797,-0.0931939371227108,1.99631911574375,0.00742960695653278,1
GFM-MWT+AD,K_damp,-333333.333333334,-0.0152818886050163,-0.0898042515245727,1.9966696847496,0.00715813159894017,1
GFM-MWT+AD,K_damp,-166666.666666666,-0.0152790105395192,-0.0864220521196528,1.9970184256428,0.0068873528555884,1
GFM-MWT+AD,K_damp,0,-0.0152761334891737,-0.0830473206322413,1.99736535993277,0.00661726816134024,1
GFM-MWT+AD,K_damp,166666.666666666,-0.0152732595020458,-0.0796800383280289,1.99771050877529,0.00634787493190322,1
GFM-MWT+AD,K_damp,333333.333333334,-0.0152703865252229,-0.0763201855016611,1.99805389299884,0.00607917052262377,1
GFM-MWT+AD,K_damp,500000,-0.0152675137140998,-0.0729677419523798,1.99839553310918,0.00581115226609754,1
GFM-MWT+AD,K_damp,666666.666666666,-0.0152646398192521,-0.0696226867138997,1.99873544930509,0.00554381745033585,1
GFM-MWT+AD,K_damp,833333.333333334,-0.0152617691728654,-0.0662849989402821,1.99907366139589,0.00527716338925765,1
GFM-MWT+AD,K_damp,1000000,-0.0152588996083041,-0.0629546565958304,1.99941018894818,0.00501118731767804,1
GFM-MWT+AD,K_damp,1166666.66666667,-0.0152560330300643,-0.0596316375906844,1.9997450511689,0.00474588648178569,1
